District,Thana,EIIN,College Name,Shift,Version,Group Name,Gender,Min GPA,Own GPA,Available Seat
Barishal,Babuganj,100441,Babuganj College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barishal,Babuganj,136897,Birsreshtho Captain Mohiuddin Jahangir College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,136897,Birsreshtho Captain Mohiuddin Jahangir College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Babuganj,136897,Birsreshtho Captain Mohiuddin Jahangir College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100446,Chandpasha High School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100446,Chandpasha High School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Babuganj,100446,Chandpasha High School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100442,Govt. Abul Kalam College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barishal,Babuganj,100442,Govt. Abul Kalam College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barishal,Babuganj,100442,Govt. Abul Kalam College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barishal,Babuganj,100445,Kaderpur Sonarbangla Higher Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100445,Kaderpur Sonarbangla Higher Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Babuganj,100444,Madhobpasha Chandradip High School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100444,Madhobpasha Chandradip High School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Babuganj,100444,Madhobpasha Chandradip High School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100399,Mohanganj Higher Secondary School,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100399,Mohanganj Higher Secondary School,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Babuganj,100399,Mohanganj Higher Secondary School,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100408,Rased Khan Menon  Model H S School,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Barishal,Babuganj,100408,Rased Khan Menon  Model H S School,Day,Bangla,Business Studies,Co-Edu,2.00,1.00,150
Barishal,Babuganj,100408,Rased Khan Menon  Model H S School,Day,Bangla,Science,Co-Edu,2.00,1.00,150
Barishal,Bakerganj,100599,Abul Hossain Khan College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100599,Abul Hossain Khan College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100592,Alhaz Hazrat Ali College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100592,Alhaz Hazrat Ali College,Morning,Bangla,Science,Co-Edu,2.00,0.00,80
Barishal,Bakerganj,100592,Alhaz Hazrat Ali College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100588,Ataheruddin Howlader College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100588,Ataheruddin Howlader College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100588,Ataheruddin Howlader College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100600,Badalpara Higher Secondary School,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100600,Badalpara Higher Secondary School,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100591,Bakerganj Government College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barishal,Bakerganj,100591,Bakerganj Government College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barishal,Bakerganj,100591,Bakerganj Government College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barishal,Bakerganj,100597,Bakerganj Islamia Mohila College,Day,Bangla,Humanities,Female,2.00,0.00,150
Barishal,Bakerganj,100597,Bakerganj Islamia Mohila College,Day,Bangla,Business Studies,Female,2.00,0.00,150
Barishal,Bakerganj,100597,Bakerganj Islamia Mohila College,Day,Bangla,Science,Female,2.00,0.00,150
Barishal,Bakerganj,100596,Begum Sumsuddin Talukder College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100596,Begum Sumsuddin Talukder College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100596,Begum Sumsuddin Talukder College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100593,C.N.B. College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100593,C.N.B. College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,138010,Chandradip College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barishal,Bakerganj,138010,Chandradip College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,138010,Chandradip College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100594,Helaluddin College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100594,Helaluddin College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100594,Helaluddin College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,138548,JAHANGIR HOSSEN MOLLA COLLEGE,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,138548,JAHANGIR HOSSEN MOLLA COLLEGE,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,138548,JAHANGIR HOSSEN MOLLA COLLEGE,Day,Bangla,Science,Co-Edu,2.50,0.00,150
Barishal,Bakerganj,100492,K. G. S. Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100492,K. G. S. Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100492,K. G. S. Secondary School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,138296,Kabai Union Ideal Mohila College,Day,Bangla,Science,Female,2.00,0.00,150
Barishal,Bakerganj,138296,Kabai Union Ideal Mohila College,Day,Bangla,Humanities,Female,1.00,0.00,150
Barishal,Bakerganj,138296,Kabai Union Ideal Mohila College,Day,Bangla,Business Studies,Female,1.00,0.00,150
Barishal,Bakerganj,100598,Kabai Union Islamia College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100598,Kabai Union Islamia College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100598,Kabai Union Islamia College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100590,Kalaskati Degree College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100590,Kalaskati Degree College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100590,Kalaskati Degree College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100595,M. A. Malek Mahabiddayala,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Bakerganj,100595,M. A. Malek Mahabiddayala,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100595,M. A. Malek Mahabiddayala,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100587,Ratna Amin Mohila College,Day,Bangla,Humanities,Female,1.00,0.00,150
Barishal,Bakerganj,100587,Ratna Amin Mohila College,Day,Bangla,Business Studies,Female,2.00,0.00,150
Barishal,Bakerganj,138998,SHEIKH HASINA CANTT PUBLIC SCHOOL AND COLLEGE,Morning,Bangla,Science,Co-Edu,4.50,0.00,50
Barishal,Bakerganj,138998,SHEIKH HASINA CANTT PUBLIC SCHOOL AND COLLEGE,Morning,Bangla,Humanities,Co-Edu,4.00,0.00,30
Barishal,Bakerganj,100454,ST.ALFREDS SCHOOL AND COLLEGE,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100454,ST.ALFREDS SCHOOL AND COLLEGE,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100589,Syed Afsar Ali College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100589,Syed Afsar Ali College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Bakerganj,100589,Syed Afsar Ali College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100657,Banaripara Degree College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100657,Banaripara Degree College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100657,Banaripara Degree College,Day,Bangla,Science,Co-Edu,2.50,0.00,150
Barishal,Banari Para,100656,Bisharkandi Sher-E-Bangla College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100656,Bisharkandi Sher-E-Bangla College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100656,Bisharkandi Sher-E-Bangla College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100658,Govt. Fazlul Haque College  Chakhar,Day,Bangla,Science,Co-Edu,3.50,0.00,150
Barishal,Banari Para,100658,Govt. Fazlul Haque College  Chakhar,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barishal,Banari Para,100658,Govt. Fazlul Haque College  Chakhar,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barishal,Banari Para,100661,Masjidbari Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Banari Para,100661,Masjidbari Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100660,Sayedkati Union Islamia College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100660,Sayedkati Union Islamia College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Banari Para,100659,Syed Bazlul Haque College  Baishari,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
