"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Brahmanbaria","Brahmanbaria Sadar","103291","Brahmanbaria Govt. Mohila College","Day","Bangla","Humanities","Female","3.50","0.00","300"
"Brahmanbaria","Brahmanbaria Sadar","103292","Brahmanbaria Poura College","Day","Bangla","Humanities","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103292","Brahmanbaria Poura College","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103292","Brahmanbaria Poura College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","137793","Brahmanbaria United College","Day","Bangla","Science","Co-Edu","3.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","137793","Brahmanbaria United College","Day","Bangla","Humanities","Co-Edu","3.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","137793","Brahmanbaria United College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","134243","Chinair Bangabandhu Sheikh Mujib Degree College","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","134243","Chinair Bangabandhu Sheikh Mujib Degree College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","134243","Chinair Bangabandhu Sheikh Mujib Degree College","Day","Bangla","Humanities","Co-Edu","2.28","0.00","300"
"Brahmanbaria","Brahmanbaria Sadar","130883","Ideal Residential School & College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130883","Ideal Residential School & College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130883","Ideal Residential School & College","Day","Bangla","Business Studies","Co-Edu","1.50","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130899","Lion Ferozur Rohman Residential Academy","Day","Bangla","Science","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130899","Lion Ferozur Rohman Residential Academy","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","130899","Lion Ferozur Rohman Residential Academy","Day","Bangla","Humanities","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","138179","Obaidul Muktadir Chowdhury Mohila College","Day","Bangla","Humanities","Female","1.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","138179","Obaidul Muktadir Chowdhury Mohila College","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","138179","Obaidul Muktadir Chowdhury Mohila College","Day","Bangla","Science","Female","1.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","138280","Onnesha Biddyapith (school & College)","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","138280","Onnesha Biddyapith (school & College)","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","138280","Onnesha Biddyapith (school & College)","Day","Bangla","Humanities","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103254","Sadakpur Union High School And College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103254","Sadakpur Union High School And College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103254","Sadakpur Union High School And College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
